date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:14	4735/4735	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-127f%22	https://naturamoz.org.mz/static/home2/js/active.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/js/active.js	(from https://naturamoz.org.mz/)
18:21:15	195/195	---MCZ	200	added ('OK')	application/javascript	etag:W/%225db966ed-c3%22	https://naturamoz.org.mz/static/home2/nav/nav.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/nav/nav.js	(from https://naturamoz.org.mz/)
18:21:16	3563/3563	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dcd22fa-deb%22	https://naturamoz.org.mz/static/home/contactform/contactform.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home/contactform/contactform.js	(from https://naturamoz.org.mz/)
18:21:16	1433/1433	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dcd22fa-599%22	https://naturamoz.org.mz/static/home/contactform/newsletter.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home/contactform/newsletter.js	(from https://naturamoz.org.mz/)
18:21:33	1320/1320	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd518a6-528%22	https://naturamoz.org.mz/static/home2/nav/scroll1.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/nav/scroll1.js	(from https://naturamoz.org.mz/)
18:21:35	84265/84265	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4ad6-14929%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.js	E:/explicador/NaturaWebSite/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.js	(from https://naturamoz.org.mz/)
18:21:37	497/497	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d6e6788-1f1%22	https://naturamoz.org.mz/static/home/js/partners.js	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home/js/partners.js	(from https://naturamoz.org.mz/)
18:21:39	178/178	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Dec%202019%2016:22:34%20GMT	https://naturamoz.org.mz/static/home2/css/owl.video.play.png	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/css/owl.video.play.41.delayed	(from https://naturamoz.org.mz/static/home2/css/owl.carousel.css)
18:21:43	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225db966ed-2876e%22	https://naturamoz.org.mz/static/home2/fonts/fontawesome-webfont.eot?v=4.7.0	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fonts/fontawesome-webfont3e6e.eot	(from https://naturamoz.org.mz/static/home2/css/font-awesome.min.css)
18:21:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225db966ed-2876e%22	https://naturamoz.org.mz/static/home2/fonts/fontawesome-webfont.eot?	E:/explicador/NaturaWebSite/naturamoz.org.mz/static/home2/fonts/fontawesome-webfontd41d.eot	(from https://naturamoz.org.mz/static/home2/css/font-awesome.min.css)
